entry,key,ground_truth,predicted,match
13,sub_total.subtotal_price[1],46.636,,False
13,sub_total.tax_price,4.664,4664.0,False
13,total.total_price,51.3,51300.0,False
13,menu[0].cnt,1.0,43636.0,False
13,sub_total.subtotal_price[0],46.636,,False
13,total.changeprice,700.0,700.0,True
14,total.cashprice,200000.0,200000.0,True
14,menu[5].price,20000.0,20000.0,True
14,menu[4].cnt,1.0,1.0,True
14,sub_total.tax_price,25585.0,25585.0,True
14,menu[0].nm,redvelvetcheeseslc,redvelvetcheeses1c,False
14,menu[2].cnt,1.0,1.0,True
14,menu[0].cnt,1.0,1.0,True
14,menu[3].cnt,1.0,1.0,True
14,menu[5].cnt,1.0,1.0,True
14,menu[3].price,35000.0,35000.0,True
14,menu[0].price,38000.0,38000.0,True
14,menu[2].price,65000.0,65000.0,True
14,menu[4].nm,chamomile,chamomile,True
14,total.total_price,281435.0,281435.0,True
14,sub_total.service_price,17850.0,17850.0,True
14,menu[1].price,55000.0,55000.0,True
14,menu[2].nm,fishnchips,fishnchips,True
14,menu[4].price,25000.0,25000.0,True
14,menu[1].nm,chickenbakedrice,chickenbakedrice,True
14,menu[5].nm,icedtea,icedtea,True
14,total.total_etc,100000.0,,False
14,menu[1].cnt,1.0,1.0,True
14,total.changeprice,18565.0,18565.0,True
14,menu[3].nm,mushroomsoup,mushroomsoup,True
14,sub_total.subtotal_price,238000.0,238000.0,True
15,menu[1].nm,caramelsmall,caramelsmall,True
15,total.cashprice,70.0,70.0,True
15,menu[1].price,38.0,38.0,True
15,menu[0].price,25.0,25.0,True
15,menu[0].nm,lemontea(l),lemontea(l),True
15,menu[1].cnt,1.0,1.0,True
15,total.total_price,63.0,63.0,True
15,menu[0].cnt,1.0,1.0,True
15,total.changeprice,7.0,7.0,True
16,menu[1].nm,ivineralwater(bundling)5k,longan,False
16,total.cashprice,100000.0,100000.0,True
16,menu[1].price,4545.0,0.0,False
16,sub_total.etc,0.0,0.0,True
16,menu[0].price,59091.0,59091.0,True
16,menu[0].nm,[lg]blacksakura,[lg]blacksakura,True
16,menu[1].cnt,1.0,1.0,True
16,sub_total.tax_price,6364.0,6364.0,True
16,total.total_price,70000.0,70000.0,True
16,menu[0].cnt,1.0,1.0,True
16,sub_total.subtotal_price,63636.0,63636.0,True
16,menu[0].sub,[{'nm':'longan''cnt':'1''price':'0'}{'nm':'roastedalmond''cnt':'1''price':'0'}{'nm':'ivanggo''cnt':'1''price':'0'}],,False
16,total.changeprice,30000.0,30000.0,True
17,menu[5].price,0.0,,False
17,menu[4].cnt,1.0,1.0,True
17,menu[0].nm,goblin'smace,goblin'smace,True
17,menu[2].cnt,1.0,1.0,True
17,total.creditcardprice,91000.0,,False
17,menu[0].cnt,1.0,1.0,True
17,menu[3].cnt,1.0,1.0,True
17,menu[5].cnt,1.0,,False
17,menu[3].price,14000.0,0.0,False
17,menu[0].price,25000.0,25000.0,True
17,menu[2].price,14000.0,14000.0,True
17,menu[4].nm,plastikamook,plastikputihtakeaway,False
17,total.total_price,rp.91000,rp.91000,True
17,menu[1].price,38000.0,38000.0,True
17,menu[2].nm,chilipeppercroquette,chillipeppercroquettecheese,False
17,menu[4].price,0.0,0.0,True
17,menu[1].nm,mozarellahotdog,mozarellahotdog,True
17,menu[5].nm,plastikputihtakeaway,,False
17,menu[1].cnt,2.0,2.0,True
17,menu[3].nm,cheesecroquette,croquetteplastikamook,False
17,sub_total.subtotal_price,91000.0,91000.0,True
17,sub_total.discount_price,(0),(0),True
18,total.cashprice,156000.0,156000.0,True
18,menu[0].unitprice,156000.0,,False
18,menu[0].price,156000.0,156000.0,True
18,menu[0].nm,propoliscair,propoliscair,True
18,total.total_price,156000.0,156000.0,True
18,menu[0].cnt,1.0,156000.0,False
18,total.changeprice,rp.0,rp.0,True
19,menu[1].nm,ambushchsbur,ambushchsbur,True
19,menu[1].price,100000.0,100000.0,True
19,menu[0].price,60000.0,60000.0,True
19,menu[0].nm,ambushdblchs,ambushdblchs,True
19,menu[1].cnt,10.0,100000.0,False
19,sub_total.tax_price,16000.0,160000.0,False
19,total.total_price,176000.0,1760000.0,False
19,menu[0].cnt,4.0,60000.0,False
19,sub_total.subtotal_price,160000.0,1600000.0,False
20,menu[4].cnt,4.0,,False
20,sub_total.tax_price,34351.0,34351.0,True
20,menu[0].nm,cashewnutschkn,cashewnutschkn,True
20,menu[2].cnt,1.0,,False
20,menu[0].cnt,1.0,,False
20,menu[3].cnt,1.0,,False
20,menu[3].price,64500.0,64500.0,True
20,menu[0].price,64500.0,64500.0,True
20,menu[2].price,69500.0,69500.0,True
20,total.total_price,377859.0,377859.0,True
20,menu[4].nm,steamedrice,steamedrice,True
20,sub_total.service_price,17908.0,17908.0,True
20,menu[1].price,79500.0,79500.0,True
20,menu[2].nm,redcurrybeef,redcurrybeef,True
20,menu[4].price,47600.0,47600.0,True
20,menu[1].nm,garlicpepperbeef,garlicpepperbeef,True
20,menu[1].cnt,1.0,,False
20,menu[3].nm,phadthai,phadthai,True
20,sub_total.subtotal_price,325600.0,325600.0,True
21,menu[1].nm,estehtawar,estehtawar,True
21,total.cashprice,rp50.000,rp50.000,True
21,menu[0].unitprice,35.0,,False
21,menu[1].unitprice,3.0,,False
21,menu[1].price,rp3.000,rp3.000,True
21,menu[0].price,rp35.000,rp35.000,True
21,menu[0].nm,nasigorsfdtlr,nasigorsfdtlr,True
21,menu[1].cnt,1.0,3.0,False
21,total.total_price,rp38.000,rp38.000,True
21,menu[0].cnt,1.0,35.0,False
21,total.changeprice,rp12.000,rp12.000,True
22,menu[1].nm,[md]softsteamedchococa,[md]softsteamedchococa,True
22,total.cashprice,100000.0,100000.0,True
22,menu[1].price,20000.0,20000.0,True
22,menu[0].price,20000.0,20000.0,True
22,menu[0].nm,[md]softsteamedcheesec,[md]softsteamedcheesec,True
22,menu[1].cnt,2.0,20000.0,False
22,total.total_price,40000.0,40000.0,True
22,menu[0].cnt,2.0,20000.0,False
22,total.changeprice,60000.0,60000.0,True
23,menu[1].nm,redbeanbread,redbeanbread,True
23,total.cashprice,70000.0,70000.0,True
23,menu[1].price,9000.0,9000.0,True
23,menu[0].price,54000.0,54000.0,True
23,menu[0].nm,twistdonut,twistdonut,True
23,menu[1].cnt,1.0,9000.0,False
23,total.total_price,63000.0,63000.0,True
23,menu[0].cnt,6.0,54000.0,False
23,total.changeprice,7000.0,7000.0,True
24,menu[1].nm,5003-chokoretocookies,chokoretocookies,False
24,menu[0].unitprice,rp.56.000,,False
24,menu[1].unitprice,rp.62.000,,False
24,menu[1].price,rp.62.000,rp.62.000,True
24,menu[2].nm,6002-plasticbagmedium,plasticbagmedium,False
24,total.creditcardprice,118.0,118.0,True
24,menu[0].price,rp.56.000,rp.56.000,True
24,menu[0].nm,5001-cornflakescookies,cornflakescookies,False
24,menu[1].cnt,x1,x1,True
24,menu[2].unitprice,rp.0,,False
24,menu[2].price,rp.0,rp.0,True
24,menu[2].cnt,x1,x1,True
24,total.menuqty_cnt,3.0,3.0,True
24,total.total_price,rp.118.000,rp.118.000,True
24,menu[0].cnt,x1,x1,True
25,menu[1].nm,tljcroquette,tljcroquette,True
25,total.cashprice,50000.0,50000.0,True
25,menu[1].price,17000.0,17000.0,True
25,menu[2].nm,potatopepperbagel,potatopepperbagel,True
25,menu[0].price,10000.0,10000.0,True
25,menu[0].nm,twiststrawberrydonut,twiststrawberrydonut,True
25,menu[1].cnt,1.0,1.0,True
25,menu[2].price,16000.0,16000.0,True
25,menu[2].cnt,1.0,1.0,True
25,total.total_price,43000.0,43000.0,True
25,menu[0].cnt,1.0,1.0,True
25,total.changeprice,7000.0,7000.0,True
26,menu[1].nm,tehtawar,fuyunghai,False
26,total.cashprice,rp138.000,rp138.000,True
26,menu[0].unitprice,65.0,,False
26,menu[1].unitprice,4.0,,False
26,menu[2].nm,fuyunghai,,False
26,menu[0].price,65.0,65.0,True
26,menu[0].nm,nasicapcayporsibesar,nasicapcayporstbesar,False
26,menu[1].cnt,2.0,,False
26,menu[1].etc,minuman,,False
26,menu[2].unitprice,65.0,,False
26,menu[2].cnt,1.0,,False
26,menu[0].etc,capcay,,False
26,menu[2].price,65.0,,False
26,menu[0].cnt,1.0,,False
26,total.total_price,rp138.000,rp138.000,True
26,sub_total.subtotal_price,rp138.000,rp138.000,True
26,menu[2].etc,lain-lain,,False
26,total.changeprice,rp0,rp0,True
27,menu[1].nm,gulaiotak,gulaiotak,True
27,total.cashprice,61600.0,,False
27,menu[1].price,23000.0,23000.0,True
27,menu[0].price,33000.0,33000.0,True
27,menu[0].nm,pktayam,pktayam,True
27,sub_total.tax_price,5600.0,5600.0,True
27,total.menuqty_cnt,2.0,,False
27,total.total_price,61600.0,61600.0,True
27,sub_total.subtotal_price,56000.0,56000.0,True
28,menu[1].nm,sullungtang,sullungtang,True
28,menu[1].price,75000.0,75000.0,True
28,menu[2].nm,makoli,makoli,True
28,menu[0].price,194000.0,194000.0,True
28,menu[0].nm,samgyopsal,samgyopsal,True
28,menu[1].cnt,1.0,1.0,True
28,menu[2].price,100000.0,100000.0,True
28,sub_total.tax_price,38745.0,38745.0,True
28,menu[2].cnt,1.0,1.0,True
28,total.total_price,426195.0,426195.0,True
28,menu[0].cnt,2.0,2.0,True
28,sub_total.service_price,18450.0,18450.0,True
28,sub_total.subtotal_price,369000.0,369000.0,True
28,sub_total.discount_price,0.0,0.0,True
29,menu[5].price,28182.0,12727.0,False
29,menu[4].cnt,1.0,1.0,True
29,sub_total.tax_price,13264.0,13264.0,True
29,menu[0].nm,coldocha,coldocha,True
29,menu[2].cnt,1.0,1.0,True
29,total.creditcardprice,[145900],[145900],True
29,menu[0].cnt,1.0,1.0,True
29,menu[3].cnt,1.0,1.0,True
29,menu[5].cnt,1.0,1.0,True
29,menu[3].price,12727.0,0.0,False
29,menu[0].price,10909.0,10909.0,True
29,menu[2].price,12727.0,0.0,False
29,menu[4].nm,ebitempura,skeweredshumai,False
29,total.total_price,145900.0,145900.0,True
29,menu[1].price,54455.0,54455.0,True
29,menu[2].nm,skeweredshumai,-aburaudonspicy,False
29,menu[1].sub,[{'nm':'aburaudonspicy''cnt':'1''price':'0'}{'nm':':-kakeudon''cnt':'1''price':'0'}],,False
29,menu[4].price,13636.0,12727.0,False
29,menu[1].nm,bcapromo,bcapromo,True
29,menu[5].nm,kitsuneudon(kids),skeweredtofuroll,False
29,menu[1].cnt,1.0,1.0,True
29,menu[3].nm,skeweredtofuroll,-kakeudon,False
29,sub_total.subtotal_price,132636.0,132636.0,True
30,total.cashprice,50000.0,50000.0,True
30,menu[0].price,28636.0,28636.0,True
30,menu[0].nm,kupon3,kupon,False
30,sub_total.tax_price,2864.0,2864.0,True
30,total.total_price,31500.0,31500.0,True
30,sub_total.subtotal_price,28636.0,28636.0,True
30,total.changeprice,18500.0,18500.0,True
31,menu[1].nm,salmonpesto,,False
31,menu[1].discountprice,-85500.0,,False
31,menu[1].price,85500.0,,False
31,menu[0].price,85500.0,85500.0,True
31,menu[0].nm,salmonpesto,salmonpesto,True
31,menu[1].cnt,1.0,,False
31,sub_total.tax_price,18126.0,10260.0,False
31,total.total_price,113886.0,113886.0,True
31,menu[0].cnt,1.0,1.0,True
31,sub_total.service_price,10260.0,18126.0,False
31,sub_total.subtotal_price,85500.0,85500.0,True
32,total.cashprice,50.0,50.0,True
32,menu[0].unitprice,@24.000,,False
32,menu[0].price,24.0,24.0,True
32,menu[0].nm,thaiicedgreentea,thaiicedgreentea,True
32,total.total_price,24.0,24.0,True
32,menu[0].cnt,1.0,1.0,True
32,sub_total.subtotal_price,24.0,24.0,True
32,total.changeprice,26.0,26.0,True
33,menu[1].nm,hottuna,hottuna,True
33,menu[1].price,67000.0,67000.0,True
33,menu[2].nm,hottuna,hottuna,True
33,sub_total.subtotal_price,117500.0,117500.0,True
33,menu[0].price,50500.0,50500.0,True
33,menu[0].nm,grilledbabypotato(r,grilledbabypotato(r),False
33,menu[1].cnt,1.0,1.0,True
33,menu[2].price,67000.0,67000.0,True
33,sub_total.tax_price,19557.0,11070.0,False
33,menu[2].cnt,1.0,1.0,True
33,total.total_price,148127.0,148127.0,True
33,menu[0].cnt,1.0,1.0,True
33,sub_total.service_price,11070.0,19557.0,False
33,menu[2].discountprice,-67000.0,,False
34,menu[1].nm,jamurgoreng,jamurgoreng,True
34,total.cashprice,100.0,100.0,True
34,menu[1].price,10.0,10.0,True
34,menu[0].price,75.0,75.0,True
34,menu[0].nm,ashchicksambalmatah,ashchicksambalmatah,True
34,menu[1].cnt,2.0,2.0,True
34,sub_total.tax_price,8.5,8.5,True
34,total.total_price,93.5,93.5,True
34,menu[0].cnt,5.0,5.0,True
34,sub_total.subtotal_price,85.0,85.0,True
34,total.changeprice,6.5,6.5,True
35,menu[1].nm,bananadonut,bananadonut,True
35,total.cashprice,104000.0,104000.0,True
35,menu[1].price,11000.0,11000.0,True
35,menu[2].nm,creamcheesebread,creamcheesebread,True
35,menu[3].price,12000.0,12000.0,True
35,menu[0].price,18000.0,18000.0,True
35,menu[0].nm,twistdonut,twistdonut,True
35,menu[1].cnt,1.0,,False
35,menu[2].price,13000.0,13000.0,True
35,menu[2].cnt,1.0,,False
35,total.total_price,54000.0,54000.0,True
35,menu[0].cnt,2.0,,False
35,menu[3].nm,frankfrutsausageroll,frankfrutsausageroll,True
35,menu[3].cnt,1.0,,False
35,total.changeprice,50000.0,50000.0,True
36,total.cashprice,100000.0,100000.0,True
36,menu[0].price,40000.0,40000.0,True
36,menu[0].nm,xxlcrispychicken,xxlcrispychicken,True
36,total.menuqty_cnt,1.0,1.0,True
36,total.total_price,40000.0,40000.0,True
36,menu[0].cnt,1.0,1.0,True
36,sub_total.subtotal_price,40000.0,40000.0,True
36,menu[0].sub,{'nm':'-sedang''cnt':'1''price':'0'},,False
36,total.changeprice,60000.0,60000.0,True
37,total.cashprice,50.0,50.0,True
37,total.total_etc,20.0,,False
37,menu[0].price,20.0,20.0,True
37,menu[0].nm,popcornsalt(s),popcornsalt(s),True
37,total.changeprice,30.0,30.0,True
37,menu[0].cnt,1.0,,False
38,menu[5].price,38800.0,38800.0,True
38,menu[4].cnt,1.0,1.0,True
38,menu[7].nm,herbaljelly,herbaljelly,True
38,sub_total.tax_price,60394.0,42135.0,False
38,menu[0].nm,xlborgpork10x,xlborgpork10x,True
38,menu[2].cnt,1.0,1.0,True
38,menu[0].cnt,1.0,1.0,True
38,menu[3].cnt,1.0,1.0,True
38,menu[5].cnt,1.0,1.0,True
38,menu[6].nm,kwanyincup,kwanyincup,True
38,menu[6].cnt,5.0,5.0,True
38,menu[3].price,108000.0,108000.0,True
38,menu[0].price,78000.0,78000.0,True
38,total.menuqty_cnt,13.0,13.0,True
38,menu[2].price,58000.0,58000.0,True
38,menu[7].cnt,1.0,1.0,True
38,menu[4].nm,lmporkbelly,lmporkbelly,True
38,total.total_price,664329.0,664329.0,True
38,sub_total.service_price,42135.0,60394.0,False
38,menu[8].price,38000.0,38000.0,True
38,menu[1].price,65000.0,65000.0,True
38,menu[2].nm,hotplatetahu,hotplatetahu,True
38,menu[6].price,50000.0,50000.0,True
38,menu[7].price,38000.0,38000.0,True
38,menu[8].nm,onde-onde,onde-onde,True
38,menu[4].price,88000.0,88000.0,True
38,menu[1].nm,sicitobabi,sicitobabi,True
38,menu[5].nm,siewmai,siewmai,True
38,menu[1].cnt,1.0,1.0,True
38,menu[3].nm,dffishfilletgarlc,dffishfilletgarlic,False
38,menu[8].cnt,1.0,1.0,True
38,sub_total.subtotal_price,561800.0,561800.0,True
39,menu[0].itemsubtotal,1555200.0,1555200.0,True
39,menu[0].unitprice,243000.0,,False
39,menu[0].nm,lunchbox3psetw/redbag&sp00n.,hpl754drlunchbox3psetw/redbag&spoon,False
39,menu[2].cnt,4.0,243000.0,False
39,total.creditcardprice,3112800.0,3112800.0,True
39,menu[1].itemsubtotal,780000.0,780000.0,True
39,menu[0].cnt,8.0,243000.0,False
39,menu[1].unitprice,195000.0,,False
39,menu[0].price,1944000.0,1944000.0,True
39,total.menuqty_cnt,17.0,18.0,False
39,menu[2].unitprice,243000.0,,False
39,menu[2].price,972000.0,972000.0,True
39,menu[0].num,hpl754dr,9pcs,False
39,menu[1].price,975000.0,975000.0,True
39,menu[2].nm,lunchbox3psetw/blackbag&spoon,hpl754dblunchbox3psetw/blackbag&spoon,False
39,menu[2].itemsubtotal,777600.0,777600.0,True
39,menu[1].nm,ricecase7lw/cup,hpl500ricecase7lw/cup,False
39,menu[1].num,hpl500,5pcs,False
39,menu[1].cnt,5.0,195000.0,False
39,total.menutype_cnt,3.0,3.0,True
39,menu[2].num,hpl754db,4pcs,False
40,menu[1].nm,bakeryanekasisirbananapizzayokomarmerdagingabonkejucokelatdll,bakeryanekasisirbananapizzayokomarmerdagingabonkejucokelatdll,True
40,total.cashprice,100000.0,100000.0,True
40,menu[0].unitprice,27000.0,,False
40,menu[1].unitprice,7000.0,,False
40,menu[1].price,14000.0,14000.0,True
40,menu[0].price,54000.0,54000.0,True
40,menu[0].nm,snacklestariall,snacklestariall,True
40,menu[1].cnt,2.0,2.0,True
40,total.total_price,68000.0,68000.0,True
40,menu[0].cnt,2.0,2.0,True
40,total.changeprice,32000.0,32000.0,True
41,menu[5].price,43290.0,,False
41,menu[7].nm,mineralwater,mineralwater,True
41,menu[0].nm,chickenmaryland,chickenmaryland,True
41,menu[6].nm,mineralwater,mineralwater,True
41,menu[3].price,30303.0,,False
41,menu[0].price,47619.0,,False
41,menu[2].price,34632.0,,False
41,menu[4].nm,hotchocolatemarshmallo,hotchocolatemarshmallo,True
41,total.total_price,365000.0,365000.0,True
41,sub_total.service_price,48982.68,48982.68,True
41,menu[8].price,25974.0,,False
41,menu[2].nm,nagalycheejuice,nagalycheejuice,True
41,menu[1].price,30303.0,,False
41,menu[6].price,12987.0,,False
41,menu[7].price,12987.0,,False
41,menu[8].nm,lychee/peach/lemon/mango,lychee/peach/lemon/mango,True
41,menu[4].price,30303.0,,False
41,menu[1].nm,cappucino(hot/iced),cappucino(hot/iced),True
41,menu[5].nm,chickencesarsalad,chickencesarsalad,True
41,menu[9].nm,chickenmaryland,chickenmaryland,True
41,menu[3].nm,cafelatte,cafelatte,True
41,sub_total.subtotal_price,316017.0,316017.0,True
41,menu[9].price,47619.0,,False
42,total.cashprice,50000.0,50000.0,True
42,sub_total.tax_price,1500.0,1500.0,True
42,menu[0].nm,chickenhcc.1pcs,chickenhcc,False
42,menu[0].price,15.0,15000.0,False
42,total.menuqty_cnt,1.0,1.0,True
42,total.total_price,16500.0,16500.0,True
42,menu[0].cnt,1.0,1.0,True
42,sub_total.subtotal_price,15000.0,15000.0,True
42,total.changeprice,33500.0,33500.0,True
43,total.cashprice,rp200000.00,rp200000.00,True
43,menu[0].price,165000.0,165000.0,True
43,menu[0].nm,cheesetart,cheesetart,True
43,sub_total.tax_price,rp15000.00,rp15000.00,True
43,total.total_price,rp165000.00,rp165000.00,True
43,menu[0].cnt,6.0,6.0,True
43,sub_total.subtotal_price,rp165000.00,rp165000.00,True
43,menu[0].sub,[{'nm':'boxof6'}{'nm':'ppcarrier'}],,False
43,total.changeprice,rp35000.00,rp35000.00,True
44,total.cashprice,50.0,50.0,True
44,menu[0].price,30.0,30.0,True
44,menu[0].nm,combo1,combo,False
44,total.total_price,30.0,30.0,True
44,menu[0].cnt,1.0,1.0,True
44,total.changeprice,20.0,20.0,True
45,menu[1].nm,mike&ikeoriginal,mike&ikeoriginal,True
45,total.cashprice,88.0,88.0,True
45,menu[1].price,28.0,28.0,True
45,menu[2].nm,mike&berry,mike&berry,True
45,menu[3].price,7.0,7.0,True
45,menu[0].price,25.0,25.0,True
45,menu[0].nm,lemontea(l).,lemontea(l).,True
45,menu[1].cnt,1.0,1.0,True
45,menu[2].price,28.0,28.0,True
45,menu[2].cnt,1.0,1.0,True
45,total.total_price,88000.0,88.0,False
45,menu[0].cnt,1.0,1.0,True
45,menu[3].nm,rotikejumanis.,rotikejumanis.,True
45,menu[3].cnt,1.0,1.0,True
45,total.changeprice,0.0,0.0,True
46,menu[1].nm,s-caramelmilktea,s-caramelmilktea,True
46,total.cashprice,40000.0,40000.0,True
46,menu[0].unitprice,@20000,,False
46,menu[1].unitprice,@20000,,False
46,menu[1].price,20000.0,20000.0,True
46,menu[1].sub,{'nm':'100%'},,False
46,menu[0].price,20000.0,20000.0,True
46,menu[0].nm,s-bubblemilktea,s-bubblemilktea,True
46,menu[1].cnt,1x,1x,True
46,total.total_price,40000.0,40000.0,True
46,menu[0].cnt,1x,1x,True
46,menu[0].sub,{'nm':'100%'},,False
46,total.changeprice,0.0,0.0,True
47,menu[0].unitprice,45000.0,,False
47,menu[0].nm,copia1/gb,copia1/gb,True
47,menu[2].cnt,1.0,1.0,True
47,total.creditcardprice,63000.0,63000.0,True
47,menu[0].cnt,1.0,1.0,True
47,menu[1].unitprice,0.0,,False
47,menu[0].price,45000.0,45000.0,True
47,total.menuqty_cnt,3.0,3.0,True
47,menu[2].unitprice,18000.0,,False
47,menu[2].price,18000.0,18000.0,True
47,total.total_price,63000.0,63000.0,True
47,menu[0].num,2100252000358.0,2100252000358.0,True
47,menu[1].price,0.0,0.0,True
47,menu[2].nm,copia1/gb,copia1/gb,True
47,menu[1].nm,plasticbagredcentralsi,plasticbagredcentralsi,True
47,menu[1].num,9100544260074.0,9100544260074.0,True
47,menu[1].cnt,1.0,1.0,True
47,sub_total.discount_price,0.0,0.0,True
47,menu[2].num,2100252000358.0,2100252000358.0,True
48,total.cashprice,100000.0,100000.0,True
48,menu[0].unitprice,@25000,,False
48,menu[0].price,25000.0,25000.0,True
48,menu[0].nm,s-hazelnutkoicafe,s-hazelnutkoicafe,True
48,sub_total.tax_price,2272.0,,False
48,total.total_price,25000.0,25000.0,True
48,menu[0].cnt,1x,1x,True
