entry,key,ground_truth,predicted,match
13,menu[0].cnt,1.0,1.0,True
13,menu[1].nm,a.mineralgelas,,False
13,menu[1].price,3000.0,,False
13,sub_total.tax_price,4.664,4.636,False
13,menu[1].unitprice,3000.0,,False
13,sub_total.subtotal_price[0],46.636,,False
13,menu[1].cnt,1.0,,False
14,sub_total.subtotal_price,238000.0,209.0,False
14,menu[0].price,38000.0,39.0,False
14,menu[0].nm,redvelvetcheeseslc,revvelcheeseslice,False
14,menu[4].price,25000.0,,False
14,total.cashprice,200000.0,228.45,False
14,total.changeprice,18565.0,0.0,False
14,menu[3].nm,mushroomsoup,icedtea,False
14,menu[3].price,35000.0,20.0,False
14,menu[3].cnt,1.0,1.0,True
14,menu[1].price,55000.0,54.0,False
14,sub_total.service_price,17850.0,17.5,False
14,menu[5].nm,icedtea,,False
14,menu[0].cnt,1.0,1.0,True
14,menu[2].cnt,1.0,1.0,True
14,menu[1].nm,chickenbakedrice,chickenrice,False
14,menu[5].price,20000.0,,False
14,sub_total.tax_price,25585.0,18.45,False
14,menu[1].cnt,1.0,1.0,True
14,total.total_price,281435.0,228.45,False
14,total.total_etc,100000.0,0.0,False
14,menu[4].cnt,1.0,,False
14,menu[2].nm,fishnchips,mushroomsoup,False
14,menu[2].price,65000.0,35.0,False
14,menu[4].nm,chamomile,,False
14,menu[5].cnt,1.0,,False
15,menu[0].price,25.0,25.0,True
15,menu[0].nm,lemontea(l),lemontea(l.),False
15,total.total_price,63.0,63.0,True
15,total.cashprice,70.0,63.0,False
15,total.changeprice,7.0,0.0,False
15,menu[0].cnt,1.0,caramelsmall,False
15,menu[1].nm,caramelsmall,,False
15,menu[1].price,38.0,,False
15,menu[1].cnt,1.0,,False
16,sub_total.subtotal_price,63636.0,63990.0,False
16,menu[0].price,59091.0,59901.0,False
16,menu[0].nm,[lg]blacksakura,1/2blacksakura,False
16,total.total_price,70000.0,63990.0,False
16,total.cashprice,100000.0,63990.0,False
16,total.changeprice,30000.0,0.0,False
16,menu[0].cnt,1.0,1.0,True
16,menu[1].nm,ivineralwater(bundling)5k,1roastedalmond,False
16,menu[1].price,4545.0,4545.0,True
16,sub_total.tax_price,6364.0,0.0,False
16,sub_total.etc,0.0,0.0,True
16,menu[1].cnt,1.0,1.0,True
16,menu[0].sub,[{'nm':'longan''cnt':'1''price':'0'}{'nm':'roastedalmond''cnt':'1''price':'0'}{'nm':'ivanggo''cnt':'1''price':'0'}],,False
17,sub_total.subtotal_price,91000.0,91000.0,True
17,menu[0].price,25000.0,25000.0,True
17,menu[0].nm,goblin'smace,ê³ ê¸°ë§¥ì¤,False
17,menu[4].price,0.0,14000.0,False
17,total.creditcardprice,91000.0,0.0,False
17,menu[3].nm,cheesecroquette,í¬ë¡ì¼,False
17,menu[3].price,14000.0,14000.0,True
17,menu[3].cnt,1.0,1.0,True
17,menu[1].price,38000.0,14000.0,False
17,sub_total.discount_price,(0),0.0,False
17,menu[5].nm,plastikputihtakeaway,,False
17,menu[0].cnt,1.0,2.0,False
17,menu[2].cnt,1.0,1.0,True
17,menu[1].nm,mozarellahotdog,ë¡ë³¶ì´,False
17,menu[5].price,0.0,,False
17,menu[1].cnt,2.0,1.0,False
17,total.total_price,rp.91000,91000.0,False
17,menu[4].cnt,1.0,1.0,True
17,menu[2].nm,chilipeppercroquette,ì¹ì¦,False
17,menu[2].price,14000.0,14000.0,True
17,menu[4].nm,plastikamook,íë¼ì¤í¬ìëª¨í¬,False
17,menu[5].cnt,1.0,,False
18,menu[0].nm,propoliscair,propoliscair1,False
18,menu[0].price,156000.0,156000.0,True
18,menu[0].unitprice,156000.0,,False
18,total.total_price,156000.0,156000.0,True
18,total.changeprice,rp.0,0.0,False
18,menu[0].cnt,1.0,1.0,True
18,total.cashprice,156000.0,156000.0,True
19,sub_total.subtotal_price,160000.0,10000.0,False
19,menu[0].price,60000.0,10000.0,False
19,menu[0].nm,ambushdblchs,10ambushcheeseburger,False
19,total.total_price,176000.0,116000.0,False
19,menu[0].cnt,4.0,1.0,False
19,menu[1].nm,ambushchsbur,,False
19,menu[1].price,100000.0,,False
19,sub_total.tax_price,16000.0,16000.0,True
19,menu[1].cnt,10.0,,False
20,sub_total.subtotal_price,325600.0,325600.0,True
20,menu[0].price,64500.0,64500.0,True
20,menu[0].nm,cashewnutschkn,1cashewnutschkin,False
20,menu[4].price,47600.0,,False
20,menu[3].nm,phadthai,,False
20,menu[3].price,64500.0,,False
20,menu[3].cnt,1.0,,False
20,sub_total.service_price,17908.0,1798.0,False
20,menu[1].price,79500.0,64500.0,False
20,menu[0].cnt,1.0,1.0,True
20,menu[2].cnt,1.0,4.0,False
20,menu[1].nm,garlicpepperbeef,1redcurrybeef,False
20,sub_total.tax_price,34351.0,0.0,False
20,menu[1].cnt,1.0,1.0,True
20,total.total_price,377859.0,343589.0,False
20,menu[4].cnt,4.0,,False
20,menu[2].nm,redcurrybeef,4steamedrice,False
20,menu[2].price,69500.0,47600.0,False
20,menu[4].nm,steamedrice,,False
21,menu[0].nm,nasigorsfdtlr,nasigorsfdtrl,False
21,menu[0].price,rp35.000,rp35.000,True
21,menu[0].unitprice,35.0,,False
21,total.total_price,rp38.000,rp70.000,False
21,total.cashprice,rp50.000,rp70.000,False
21,total.changeprice,rp12.000,rp0.000,False
21,menu[0].cnt,1.0,2.0,False
21,menu[1].nm,estehtawar,,False
21,menu[1].price,rp3.000,,False
21,menu[1].unitprice,3.0,,False
21,menu[1].cnt,1.0,,False
22,menu[0].price,20000.0,20000.0,True
22,menu[0].nm,[md]softsteamedcheesec,2midjsoftsteamedcheesec20000,False
22,total.total_price,40000.0,40000.0,True
22,total.cashprice,100000.0,40000.0,False
22,total.changeprice,60000.0,0.0,False
22,menu[0].cnt,2.0,1.0,False
22,menu[1].nm,[md]softsteamedchococa,,False
22,menu[1].price,20000.0,,False
22,menu[1].cnt,2.0,,False
23,menu[0].price,54000.0,54000.0,True
23,menu[0].nm,twistdonut,6twistdonut,False
23,total.total_price,63000.0,63000.0,True
23,total.cashprice,70000.0,63000.0,False
23,total.changeprice,7000.0,7000.0,True
23,menu[0].cnt,6.0,1.0,False
23,menu[1].nm,redbeanbread,,False
23,menu[1].price,9000.0,,False
23,menu[1].cnt,1.0,,False
24,menu[0].nm,5001-cornflakescookies,5001-cornflakescookies,True
24,menu[0].price,rp.56.000,rp.56.000,True
24,menu[2].unitprice,rp.0,,False
24,menu[0].unitprice,rp.56.000,,False
24,total.total_price,rp.118.000,rp.102.000,False
24,menu[0].cnt,x1,1.0,False
24,menu[2].nm,6002-plasticbagmedium,,False
24,total.creditcardprice,118.0,rp.0.000,False
24,menu[2].cnt,x1,,False
24,menu[1].nm,5003-chokoretocookies,5002-plasticbagmedium,False
24,menu[1].price,rp.62.000,rp.46.000,False
24,total.menuqty_cnt,3.0,2.0,False
24,menu[1].unitprice,rp.62.000,,False
24,menu[2].price,rp.0,,False
24,menu[1].cnt,x1,1.0,False
25,menu[0].price,10000.0,10000.0,True
25,menu[0].nm,twiststrawberrydonut,twiststrawberrydonut,True
25,total.total_price,43000.0,26000.0,False
25,total.cashprice,50000.0,26000.0,False
25,total.changeprice,7000.0,0.0,False
25,menu[0].cnt,1.0,1.0,True
25,menu[2].nm,potatopepperbagel,,False
25,menu[2].cnt,1.0,,False
25,menu[1].nm,tljcroquette,1potatopepperbagel,False
25,menu[1].price,17000.0,16000.0,False
25,menu[2].price,16000.0,,False
25,menu[1].cnt,1.0,1.0,True
26,sub_total.subtotal_price,rp138.000,230000.0,False
26,menu[0].nm,nasicapcayporsibesar,minuman,False
26,menu[0].price,65.0,65000.0,False
26,menu[2].unitprice,65.0,,False
26,menu[0].unitprice,65.0,,False
26,total.total_price,rp138.000,230000.0,False
26,menu[1].etc,minuman,,False
26,total.cashprice,rp138.000,230000.0,False
26,menu[2].etc,lain-lain,,False
26,total.changeprice,rp0,0.0,False
26,menu[0].etc,capcay,,False
26,menu[0].cnt,1.0,1.0,True
26,menu[2].nm,fuyunghai,,False
26,menu[2].cnt,1.0,,False
26,menu[1].nm,tehtawar,lain-lain,False
26,menu[1].unitprice,4.0,,False
26,menu[2].price,65.0,,False
26,menu[1].cnt,2.0,1.0,False
27,sub_total.subtotal_price,56000.0,56000.0,True
27,menu[0].nm,pktayam,gulaiotak,False
27,menu[0].price,33000.0,33000.0,True
27,total.total_price,61600.0,61600.0,True
27,total.cashprice,61600.0,61600.0,True
27,total.menuqty_cnt,2.0,1.0,False
27,menu[1].nm,gulaiotak,,False
27,menu[1].price,23000.0,,False
27,sub_total.tax_price,5600.0,61600.0,False
28,sub_total.subtotal_price,369000.0,399000.0,False
28,menu[0].price,194000.0,194000.0,True
28,menu[0].nm,samgyopsal,samgyopsal,True
28,sub_total.service_price,18450.0,18450.0,True
28,total.total_price,426195.0,426195.0,True
28,sub_total.discount_price,0.0,0.0,True
28,menu[0].cnt,2.0,1.0,False
28,menu[2].nm,makoli,,False
28,menu[2].cnt,1.0,,False
28,menu[1].nm,sullungtang,makoli,False
28,menu[1].price,75000.0,100000.0,False
28,sub_total.tax_price,38745.0,38745.0,True
28,menu[2].price,100000.0,,False
28,menu[1].cnt,1.0,1.0,True
29,sub_total.subtotal_price,132636.0,10909.0,False
29,menu[0].price,10909.0,10909.0,True
29,menu[0].nm,coldocha,coldocha,True
29,menu[4].price,13636.0,,False
29,total.creditcardprice,[145900],145900.0,False
29,menu[3].nm,skeweredtofuroll,,False
29,menu[3].price,12727.0,,False
29,menu[3].cnt,1.0,,False
29,menu[1].sub,[{'nm':'aburaudonspicy''cnt':'1''price':'0'}{'nm':':-kakeudon''cnt':'1''price':'0'}],,False
29,menu[1].price,54455.0,12727.0,False
29,menu[5].nm,kitsuneudon(kids),,False
29,menu[0].cnt,1.0,1.0,True
29,menu[2].cnt,1.0,1.0,True
29,menu[1].nm,bcapromo,skeweredshumai,False
29,menu[5].price,28182.0,,False
29,sub_total.tax_price,13264.0,1500.0,False
29,menu[1].cnt,1.0,1.0,True
29,total.total_price,145900.0,145900.0,True
29,menu[4].cnt,1.0,,False
29,menu[2].nm,skeweredshumai,ebitempura,False
29,menu[2].price,12727.0,13636.0,False
29,menu[4].nm,ebitempura,,False
29,menu[5].cnt,1.0,,False
30,sub_total.subtotal_price,28636.0,31500.0,False
30,menu[0].nm,kupon3,dineintotal,False
30,menu[0].price,28636.0,31500.0,False
30,total.total_price,31500.0,31500.0,True
30,total.changeprice,18500.0,0.0,False
30,total.cashprice,50000.0,31500.0,False
30,sub_total.tax_price,2864.0,0.0,False
31,sub_total.subtotal_price,85500.0,85.5,False
31,menu[0].price,85500.0,85.5,False
31,menu[0].nm,salmonpesto,salmonpesto,True
31,sub_total.service_price,10260.0,0.0,False
31,total.total_price,113886.0,85.5,False
31,menu[1].discountprice,-85500.0,,False
31,menu[0].cnt,1.0,1.0,True
31,menu[1].nm,salmonpesto,,False
31,menu[1].price,85500.0,,False
31,sub_total.tax_price,18126.0,0.0,False
31,menu[1].cnt,1.0,,False
32,sub_total.subtotal_price,24.0,24.0,True
32,menu[0].nm,thaiicedgreentea,thaiicegreentea,False
32,menu[0].price,24.0,24.0,True
32,menu[0].unitprice,@24.000,,False
32,total.total_price,24.0,24.0,True
32,total.changeprice,26.0,0.0,False
32,menu[0].cnt,1.0,24.0,False
32,total.cashprice,50.0,24.0,False
33,sub_total.subtotal_price,117500.0,67000.0,False
33,menu[0].price,50500.0,67000.0,False
33,menu[0].nm,grilledbabypotato(r,grilledbabypotato(r),False
33,menu[2].discountprice,-67000.0,,False
33,sub_total.service_price,11070.0,0.0,False
33,total.total_price,148127.0,67000.0,False
33,menu[0].cnt,1.0,1.0,True
33,menu[2].nm,hottuna,,False
33,menu[2].cnt,1.0,,False
33,menu[1].nm,hottuna,,False
33,menu[1].price,67000.0,,False
33,sub_total.tax_price,19557.0,0.0,False
33,menu[2].price,67000.0,,False
33,menu[1].cnt,1.0,,False
34,sub_total.subtotal_price,85.0,83.5,False
34,menu[0].price,75.0,75.0,True
34,menu[0].nm,ashchicksambalmatah,ashchicksambal,False
34,total.total_price,93.5,83.5,False
34,total.cashprice,100.0,83.5,False
34,total.changeprice,6.5,0.0,False
34,menu[0].cnt,5.0,1.0,False
34,menu[1].nm,jamurgoreng,pajak(10%)1,False
34,menu[1].price,10.0,8.5,False
34,sub_total.tax_price,8.5,0.0,False
34,menu[1].cnt,2.0,1.0,False
35,menu[0].price,18000.0,18000.0,True
35,menu[0].nm,twistdonut,twistdonut,True
35,menu[3].nm,frankfrutsausageroll,,False
35,menu[3].price,12000.0,,False
35,total.total_price,54000.0,27000.0,False
35,menu[3].cnt,1.0,,False
35,total.cashprice,104000.0,27000.0,False
35,total.changeprice,50000.0,0.0,False
35,menu[0].cnt,2.0,1.0,False
35,menu[2].nm,creamcheesebread,,False
35,menu[2].cnt,1.0,,False
35,menu[1].nm,bananadonut,creamcheesebread,False
35,menu[1].price,11000.0,13000.0,False
35,menu[2].price,13000.0,,False
35,menu[1].cnt,1.0,1.0,True
36,sub_total.subtotal_price,40000.0,40000.0,True
36,menu[0].price,40000.0,40000.0,True
36,menu[0].nm,xxlcrispychicken,crispychicken,False
36,total.total_price,40000.0,40000.0,True
36,total.cashprice,100000.0,40000.0,False
36,total.changeprice,60000.0,0.0,False
36,menu[0].cnt,1.0,1.0,True
36,total.menuqty_cnt,1.0,1.0,True
36,menu[0].sub,{'nm':'-sedang''cnt':'1''price':'0'},,False
37,menu[0].price,20.0,20.0,True
37,menu[0].nm,popcornsalt(s),popcornsalt(s),True
37,total.total_etc,20.0,0.0,False
37,total.changeprice,30.0,0.0,False
37,menu[0].cnt,1.0,1.0,True
37,total.cashprice,50.0,20.0,False
38,sub_total.subtotal_price,561800.0,255000.0,False
38,menu[0].price,78000.0,78000.0,True
38,menu[0].nm,xlborgpork10x,xlborgpork10x,True
38,menu[4].price,88000.0,38000.0,False
38,menu[6].nm,kwanyincup,,False
38,menu[8].nm,onde-onde,,False
38,menu[8].cnt,1.0,,False
38,menu[3].nm,dffishfilletgarlc,swissmai,False
38,menu[3].price,108000.0,38000.0,False
38,menu[3].cnt,1.0,1.0,True
38,menu[7].nm,herbaljelly,,False
38,menu[1].price,65000.0,65000.0,True
38,sub_total.service_price,42135.0,0.0,False
38,menu[5].nm,siewmai,onde-onde,False
38,menu[7].price,38000.0,,False
38,menu[6].price,50000.0,,False
38,menu[0].cnt,1.0,1.0,True
38,menu[7].cnt,1.0,,False
38,menu[6].cnt,5.0,,False
38,menu[2].cnt,1.0,1.0,True
38,menu[1].nm,sicitobabi,hoteltanu,False
38,menu[5].price,38800.0,38000.0,False
38,sub_total.tax_price,60394.0,0.0,False
38,total.menuqty_cnt,13.0,1.0,False
38,menu[1].cnt,1.0,1.0,True
38,total.total_price,664329.0,255000.0,False
38,menu[4].cnt,1.0,1.0,True
38,menu[8].price,38000.0,,False
38,menu[2].nm,hotplatetahu,limporkbelly,False
38,menu[2].price,58000.0,88000.0,False
38,menu[4].nm,lmporkbelly,herbaljelly,False
38,menu[5].cnt,1.0,1.0,True
39,menu[0].nm,lunchbox3psetw/redbag&sp00n.,bayarcreditcard,False
39,menu[0].price,1944000.0,3412800.0,False
39,total.creditcardprice,3112800.0,3412800.0,False
39,total.menutype_cnt,3.0,1.0,False
39,menu[2].num,hpl754db,,False
39,menu[1].num,hpl500,,False
39,menu[1].price,975000.0,,False
39,menu[0].cnt,8.0,1.0,False
39,total.menuqty_cnt,17.0,1.0,False
39,menu[2].cnt,4.0,,False
39,menu[1].nm,ricecase7lw/cup,,False
39,menu[1].cnt,5.0,,False
39,menu[2].itemsubtotal,777600.0,,False
39,menu[2].unitprice,243000.0,,False
39,menu[0].unitprice,243000.0,,False
39,menu[1].itemsubtotal,780000.0,,False
39,menu[0].num,hpl754dr,3412800.0,False
39,menu[0].itemsubtotal,1555200.0,3412800.0,False
39,menu[2].nm,lunchbox3psetw/blackbag&spoon,,False
39,menu[1].unitprice,195000.0,,False
39,menu[2].price,972000.0,,False
40,menu[0].nm,snacklestariall,bakeryanakesairbananapizzayokonarmerdagingabonkejcokelatdill,False
40,menu[0].price,54000.0,54000.0,True
40,menu[0].unitprice,27000.0,,False
40,total.total_price,68000.0,54000.0,False
40,total.cashprice,100000.0,54000.0,False
40,total.changeprice,32000.0,0.0,False
40,menu[0].cnt,2.0,7000.0,False
40,menu[1].nm,bakeryanekasisirbananapizzayokomarmerdagingabonkejucokelatdll,,False
40,menu[1].price,14000.0,,False
40,menu[1].unitprice,7000.0,,False
40,menu[1].cnt,2.0,,False
41,sub_total.subtotal_price,316017.0,4719.0,False
41,menu[0].nm,chickenmaryland,chickenmaryland,True
41,menu[0].price,47619.0,4719.0,False
41,menu[4].price,30303.0,4.79,False
41,menu[6].nm,mineralwater,,False
41,menu[8].nm,lychee/peach/lemon/mango,,False
41,menu[3].nm,cafelatte,hotchocolatemarshmallow,False
41,menu[3].price,30303.0,3.0,False
41,menu[7].nm,mineralwater,,False
41,menu[1].price,30303.0,3.0,False
41,sub_total.service_price,48982.68,0.0,False
41,menu[5].nm,chickencesarsalad,,False
41,menu[9].price,47619.0,,False
41,menu[7].price,12987.0,,False
41,menu[6].price,12987.0,,False
41,menu[5].price,43290.0,,False
41,menu[1].nm,cappucino(hot/iced),cappuccino(hot/iced),False
41,total.total_price,365000.0,3500.0,False
41,menu[8].price,25974.0,,False
41,menu[2].nm,nagalycheejuice,nagalycheejuice,True
41,menu[9].nm,chickenmaryland,,False
41,menu[2].price,34632.0,3.0,False
41,menu[4].nm,hotchocolatemarshmallo,chickencesarsalad,False
42,sub_total.subtotal_price,15000.0,15000.0,True
42,menu[0].price,15.0,15000.0,False
42,menu[0].nm,chickenhcc.1pcs,chickenhcc,False
42,total.total_price,16500.0,15000.0,False
42,total.changeprice,33500.0,0.0,False
42,menu[0].cnt,1.0,1.0,True
42,total.menuqty_cnt,1.0,1.0,True
42,total.cashprice,50000.0,15000.0,False
42,sub_total.tax_price,1500.0,0.0,False
43,sub_total.subtotal_price,rp165000.00,rp16500.00,False
43,menu[0].price,165000.0,rp16500.00,False
43,menu[0].nm,cheesetart,16pcscheesetart,False
43,total.total_price,rp165000.00,rp16500.00,False
43,total.cashprice,rp200000.00,rp16500.00,False
43,total.changeprice,rp35000.00,rp0.00,False
43,menu[0].cnt,6.0,1.0,False
43,menu[0].sub,[{'nm':'boxof6'}{'nm':'ppcarrier'}],,False
43,sub_total.tax_price,rp15000.00,rp0.00,False
44,menu[0].price,30.0,30.0,True
44,menu[0].nm,combo1,combo1,True
44,total.total_price,30.0,30.0,True
44,total.changeprice,20.0,0.0,False
44,menu[0].cnt,1.0,1.0,True
44,total.cashprice,50.0,30.0,False
45,menu[0].price,25.0,25.0,True
45,menu[0].nm,lemontea(l).,lemontea(l).,True
45,menu[3].nm,rotikejumanis.,,False
45,menu[3].price,7.0,,False
45,total.total_price,88000.0,34.0,False
45,menu[3].cnt,1.0,,False
45,total.cashprice,88.0,34.0,False
45,total.changeprice,0.0,0.0,True
45,menu[0].cnt,1.0,1.0,True
45,menu[2].nm,mike&berry,,False
45,menu[2].cnt,1.0,,False
45,menu[1].nm,mike&ikeoriginal,rotikajumanis,False
45,menu[1].price,28.0,7.0,False
45,menu[2].price,28.0,,False
45,menu[1].cnt,1.0,1.0,True
46,menu[0].nm,s-bubblemilktea,100xs-bubblemilktea,False
46,menu[0].price,20000.0,20000.0,True
46,menu[0].unitprice,@20000,,False
46,total.total_price,40000.0,20000.0,False
46,total.cashprice,40000.0,20000.0,False
46,total.changeprice,0.0,0.0,True
46,menu[1].nm,s-caramelmilktea,,False
46,menu[0].cnt,1x,100.0,False
46,menu[1].sub,{'nm':'100%'},,False
46,menu[0].sub,{'nm':'100%'},,False
46,menu[1].price,20000.0,,False
46,menu[1].unitprice,@20000,,False
46,menu[1].cnt,1x,,False
47,menu[0].nm,copia1/gb,copia1/2gb,False
47,menu[0].price,45000.0,45000.0,True
47,total.creditcardprice,63000.0,63000.0,True
47,menu[2].num,2100252000358.0,,False
47,menu[1].num,9100544260074.0,2100250038.0,False
47,menu[1].price,0.0,18000.0,False
47,sub_total.discount_price,0.0,0.0,True
47,menu[0].cnt,1.0,1.0,True
47,total.menuqty_cnt,3.0,2.0,False
47,menu[2].cnt,1.0,,False
47,menu[1].nm,plasticbagredcentralsi,copia1/2gb,False
47,menu[1].cnt,1.0,1.0,True
47,menu[2].unitprice,18000.0,,False
47,menu[0].unitprice,45000.0,,False
47,total.total_price,63000.0,63000.0,True
47,menu[0].num,2100252000358.0,2100250038.0,False
47,menu[2].nm,copia1/gb,,False
47,menu[1].unitprice,0.0,,False
47,menu[2].price,18000.0,,False
48,sub_total.subtotal_price,22728.0,2272.0,False
48,menu[0].nm,s-hazelnutkoicafe,1xs-hazelnutkoicafe#25000,False
48,menu[0].price,25000.0,2272.0,False
48,menu[0].unitprice,@25000,,False
48,total.total_price,25000.0,2272.0,False
48,total.cashprice,100000.0,2272.0,False
48,total.changeprice,75000.0,0.0,False
48,menu[0].cnt,1x,1.0,False
48,menu[0].sub,[{'nm':'25%'}{'nm':'lessice'}],,False
48,sub_total.tax_price,2272.0,0.0,False
49,sub_total.subtotal_price,23000.0,23000.0,True
49,menu[0].price,12000.0,12000.0,True
49,menu[0].nm,ptgseggtart,1pgseggtart,False
49,total.total_price,23000.0,27000.0,False
49,total.cashprice,50000.0,27000.0,False
49,total.changeprice,27000.0,0.0,False
49,menu[0].cnt,1.0,1.0,True
49,total.menuqty_cnt,2.0,2.0,True
49,menu[1].nm,chocomelt,,False
49,menu[1].price,11000.0,,False
49,total.menutype_cnt,2.0,2.0,True
49,menu[1].cnt,1.0,,False
50,sub_total.subtotal_price,17727.0,11721.0,False
50,menu[0].price,17727.0,11721.0,False
50,menu[0].nm,supericecauburry,sushi,False
50,total.total_price,19500.0,11721.0,False
50,total.changeprice,80500.0,0.0,False
50,menu[0].cnt,1.0,1.0,True
50,total.cashprice,100000.0,11721.0,False
50,sub_total.tax_price,1773.0,0.0,False
